,Carrier,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,Southwest,10,1,3,17.4,17.3333333333,18.95,19.0833333333,273.0,285.0,259.0,-8.0,4.0,1848,7.0,7.0,0,0,,,,,
1,Southwest,6,3,2,6.91666666667,7.0,7.35,7.41666666667,86.0,85.0,71.0,-4.0,-5.0,460,2.0,13.0,0,0,,,,,
2,Southwest,7,3,4,8.56666666667,8.41666666667,10.9666666667,10.9166666667,84.0,90.0,72.0,3.0,9.0,487,4.0,8.0,0,0,,,,,
3,American,2,22,5,,10.6666666667,,13.75,,125.0,,,,733,,,1,0,,,,,
4,American,3,29,6,17.7333333333,17.3333333333,19.9333333333,19.3333333333,192.0,180.0,149.0,36.0,24.0,987,34.0,9.0,0,0,6.0,0.0,12.0,0.0,18.0
5,American,8,18,1,19.5833333333,19.5833333333,20.5166666667,20.4166666667,56.0,50.0,33.0,6.0,0.0,190,7.0,16.0,0,0,,,,,
6,Southwest,3,22,6,21.0333333333,21.0,21.8333333333,21.8333333333,48.0,50.0,32.0,0.0,2.0,197,5.0,11.0,0,0,,,,,
7,American,12,10,3,18.8,17.8333333333,20.7833333333,19.75,179.0,175.0,160.0,62.0,58.0,927,6.0,13.0,0,0,3.0,0.0,4.0,0.0,55.0
8,Southwest,10,19,7,20.1333333333,19.0,21.5166666667,20.25,83.0,75.0,65.0,76.0,68.0,337,4.0,14.0,0,0,0.0,0.0,65.0,0.0,11.0
9,Southwest,5,3,6,17.5833333333,17.6666666667,18.9333333333,19.1666666667,81.0,90.0,65.0,-14.0,-5.0,414,5.0,11.0,0,0,,,,,
10,American,1,3,4,8.9,8.66666666667,10.3833333333,10.25,89.0,95.0,76.0,8.0,14.0,448,5.0,8.0,0,0,,,,,
11,American,7,5,6,19.4333333333,19.4166666667,21.0833333333,21.0833333333,159.0,160.0,144.0,0.0,1.0,1068,5.0,10.0,0,0,,,,,
12,Southwest,2,9,6,18.3,18.25,19.4666666667,19.5833333333,70.0,80.0,56.0,-7.0,3.0,345,5.0,9.0,0,0,,,,,
