,HINCP,AGEP,vet,period,HICOV,SEX,pregion,racepct,marital,school,emppct,poverty,dispct,haskid,hhtype,cowr
0,175000.0,83,2,3.0,1,2,3,1,3,2,3.0,0,2,1,2,1.0
1,54000.0,67,1,2.0,1,1,4,1,4,2,3.0,0,2,1,3,1.0
2,84000.0,53,2,3.0,1,2,3,1,1,2,1.0,0,2,1,1,1.0
3,49700.0,61,2,3.0,1,1,4,4,1,2,3.0,0,2,1,1,1.0
4,40000.0,73,1,3.0,1,1,2,1,3,2,3.0,0,1,1,2,3.0
5,72000.0,90,2,3.0,1,2,4,1,3,2,3.0,0,1,1,1,1.0
6,36210.0,71,2,3.0,1,2,2,1,1,2,3.0,0,1,1,1,1.0
7,72000.0,22,2,3.0,2,1,3,8,4,2,1.0,0,2,1,2,1.0
8,104800.0,62,2,3.0,1,2,3,1,1,2,1.0,0,2,1,1,2.0
9,46180.0,67,1,3.0,1,1,1,1,3,2,3.0,0,2,1,2,1.0
10,28800.0,43,2,3.0,2,1,3,8,3,2,1.0,0,1,2,2,1.0
11,25600.0,58,2,3.0,1,1,2,1,1,2,3.0,0,2,1,1,3.0
12,41400.0,64,2,3.0,1,1,3,1,1,2,1.0,0,2,1,1,1.0
13,20000.0,22,2,3.0,1,2,3,1,4,2,1.0,0,2,1,3,1.0
14,83000.0,53,2,3.0,2,1,3,1,1,2,2.0,0,2,1,1,1.0
15,271200.0,61,2,3.0,1,1,4,1,1,2,1.0,0,2,1,1,2.0
16,105000.0,51,2,3.0,1,1,1,1,1,2,1.0,0,2,1,1,1.0
17,88700.0,36,2,3.0,1,2,4,1,1,2,1.0,0,2,2,1,1.0
18,42000.0,20,2,3.0,1,1,3,8,4,2,1.0,0,2,2,1,1.0
19,157000.0,22,2,3.0,1,1,4,1,4,2,1.0,0,2,1,1,1.0
20,38600.0,34,2,3.0,1,2,3,1,4,2,3.0,0,1,1,1,1.0
21,90800.0,54,2,3.0,1,1,2,1,1,2,3.0,0,1,1,1,1.0
22,197000.0,58,2,3.0,1,2,3,8,1,2,1.0,0,1,1,1,2.0
23,100000.0,24,2,3.0,1,2,2,1,4,2,1.0,0,2,1,3,1.0
24,37000.0,26,2,3.0,2,1,4,8,4,2,2.0,0,2,1,2,1.0
25,91100.0,35,2,3.0,1,1,4,1,1,2,1.0,0,2,2,1,1.0
26,10900.0,79,2,3.0,1,2,3,1,3,2,3.0,1,2,1,3,1.0
27,91700.0,64,2,3.0,1,1,2,4,1,2,3.0,0,1,1,1,1.0
28,25050.0,56,2,3.0,1,2,2,1,1,2,3.0,0,2,1,1,1.0
29,12190.0,48,2,3.0,2,1,2,1,2,2,2.0,1,1,1,2,1.0
